149, 28, 2017-03-08, 2018-06-17
92, 15, 2015-07-18, 2016-06-22
155, 8, 2018-03-27, 2018-12-01
55, 11, 2019-11-29, 2020-01-05
42, 3, 2019-12-29, 2021-01-27
50, 16, 2018-08-28, 2018-12-29
104, 14, 2017-05-03, 2017-06-05
78, 7, 2016-03-29, 2017-02-26
175, 11, 2022-06-15, 2023-08-29
102, 26, 2019-04-03, 2019-07-30
104, 24, 2022-07-02, NULL
119, 7, 2020-12-31, 2021-02-18
6, 12, 2022-11-26, NULL
145, 27, 2016-09-20, 2016-10-08
72, 3, 2016-09-09, 2017-04-05
187, 27, 2019-01-25, 2020-04-28
122, 6, 2020-08-03, 2021-10-10
80, 28, 2017-01-12, 2018-01-01
2, 3, 2015-09-28, 2015-10-15
137, 23, 2019-12-17, 2021-02-19
174, 23, 2021-11-03, 2022-12-05
118, 26, 2022-02-24, 2022-05-07
52, 24, 2021-02-19, 2021-10-06
36, 3, 2016-09-06, 2017-12-03
97, 3, 2015-09-02, 2016-06-09
90, 15, 2015-08-24, 2015-12-01
84, 3, 2018-02-21, 2019-06-16
120, 7, 2019-10-07, 2019-12-04
82, 8, 2016-01-27, 2016-06-19
46, 1, 2015-02-27, 2016-01-18
157, 15, 2022-05-10, NULL
87, 8, 2018-01-24, 2018-09-23
142, 19, 2021-01-01, 2021-06-12
35, 10, 2018-11-16, 2019-10-30
104, 13, 2022-02-27, 2022-03-27
133, 3, 2017-06-04, 2017-08-19
38, 11, 2016-05-12, NULL
171, 7, 2022-08-03, 2023-07-13
94, 17, 2022-06-08, 2023-04-25
33, 15, 2021-02-13, 2021-11-25
174, 10, 2023-03-29, 2023-08-07
112, 7, 2020-02-07, 2021-06-20
11, 8, 2015-07-23, 2016-05-15
190, 29, 2019-12-03, 2020-07-15
69, 18, 2022-12-19, 2023-04-03
198, 29, 2020-03-20, 2021-08-02
15, 1, 2019-08-14, 2020-12-01
71, 25, 2021-11-29, 2023-04-02
192, 26, 2022-02-17, NULL
69, 20, 2022-02-27, 2022-05-01
160, 26, 2020-01-17, 2020-07-09
19, 5, 2020-04-07, 2021-04-08
28, 9, 2015-01-27, 2015-05-30
165, 26, 2020-12-17, 2021-02-05
188, 7, 2022-04-21, 2022-07-11
151, 26, 2022-06-15, 2023-06-29
115, 5, 2015-06-04, 2015-09-09
184, 26, 2022-08-31, 2023-05-20
27, 19, 2020-11-30, NULL
131, 29, 2016-06-08, 2017-03-31
33, 4, 2016-03-28, 2016-04-18
147, 23, 2021-11-16, 2022-09-21
71, 13, 2016-07-02, NULL
74, 22, 2020-12-13, 2021-01-14
77, 10, 2017-08-21, 2017-11-14
100, 21, 2021-04-06, 2021-10-18
182, 25, 2022-12-11, 2024-04-04
179, 2, 2017-09-10, 2018-02-14
62, 16, 2017-09-23, 2018-01-04
154, 6, 2020-07-22, 2021-03-04
50, 29, 2018-01-26, NULL
49, 11, 2015-06-07, 2015-09-30
68, 2, 2019-03-17, 2019-05-22
170, 24, 2022-03-22, 2023-07-21
95, 25, 2020-02-20, 2021-01-01
68, 28, 2015-08-16, 2016-04-05
24, 6, 2022-06-01, 2022-06-12
12, 28, 2019-04-24, 2019-05-17
60, 1, 2019-04-06, 2019-06-10
101, 27, 2016-03-03, 2017-06-16
108, 23, 2022-05-31, 2023-07-13
113, 9, 2019-02-20, 2020-07-02
55, 22, 2021-09-07, 2022-01-31
36, 25, 2016-11-03, 2017-07-26
77, 30, 2017-08-04, 2018-03-08
135, 2, 2015-08-09, 2016-05-07
182, 1, 2022-10-23, 2023-07-01
161, 12, 2021-12-27, 2022-05-24
123, 8, 2016-07-12, 2017-08-11
17, 13, 2016-02-19, 2017-01-03
25, 18, 2015-09-08, 2016-12-05
70, 27, 2018-11-17, 2020-01-17
196, 3, 2021-03-22, 2022-04-28
194, 28, 2023-01-04, 2023-10-07
107, 24, 2019-09-11, 2020-10-06
178, 2, 2019-03-16, 2020-03-30
27, 1, 2016-11-28, 2017-04-08
41, 17, 2016-06-01, 2017-03-16
136, 19, 2021-07-11, 2022-10-04
64, 18, 2021-04-25, 2022-05-05
50, 5, 2015-07-29, 2016-05-11
122, 4, 2021-10-18, 2022-01-02
79, 6, 2016-07-29, 2016-11-02
109, 16, 2015-09-01, 2015-11-28
20, 19, 2017-10-24, 2018-01-24
2, 11, 2015-06-03, 2015-08-22
163, 6, 2023-01-28, 2024-04-15
63, 21, 2017-03-23, 2017-09-04
149, 11, 2018-12-06, 2020-04-01
179, 13, 2018-07-31, 2018-11-24
76, 10, 2020-10-15, 2022-02-08
41, 22, 2016-08-19, 2017-08-20
97, 4, 2020-12-01, 2021-07-13
200, 28, 2017-01-09, 2017-05-18
127, 30, 2021-06-24, 2021-10-10
21, 14, 2022-08-20, 2023-10-05
200, 1, 2018-05-26, 2018-08-24
129, 20, 2023-05-20, NULL
182, 20, 2018-12-21, 2019-11-01
46, 7, 2021-03-27, 2022-06-11
79, 26, 2015-01-02, 2015-04-01
99, 12, 2023-01-15, 2023-10-01
165, 28, 2022-10-24, 2023-07-22
39, 8, 2019-01-25, NULL
120, 25, 2022-02-16, 2023-01-25
113, 11, 2015-10-11, 2016-05-14
91, 23, 2015-06-09, 2016-05-31
125, 2, 2015-10-24, 2016-04-29
84, 3, 2015-08-27, 2015-10-08
120, 13, 2018-05-13, 2018-09-05
56, 6, 2021-01-06, 2021-04-20
35, 17, 2020-10-09, 2021-03-05
149, 4, 2022-12-20, 2023-03-04
158, 1, 2017-01-21, 2017-11-30
81, 20, 2018-03-03, 2018-09-11
192, 5, 2019-08-31, 2020-08-09
58, 14, 2015-09-09, 2015-09-22
51, 8, 2018-09-16, 2019-10-22
175, 29, 2018-06-20, 2018-08-01
70, 5, 2018-11-20, 2018-11-30
62, 23, 2015-05-19, NULL
162, 19, 2019-06-22, 2019-08-04
195, 4, 2019-06-30, 2020-08-26
100, 23, 2018-10-06, 2019-10-14
148, 4, 2017-11-27, 2018-05-04
198, 24, 2015-10-31, 2016-06-02
6, 8, 2020-06-24, 2020-09-14
134, 26, 2016-10-21, 2018-01-31
73, 7, 2023-05-27, 2023-12-08
119, 3, 2016-10-18, 2018-01-03
175, 30, 2016-10-06, 2016-11-20
176, 21, 2021-11-29, 2022-12-15
72, 2, 2023-02-04, 2024-01-31
156, 24, 2022-04-21, 2022-05-20
172, 6, 2019-09-24, 2020-08-29
12, 29, 2021-02-15, 2021-05-31
124, 3, 2023-03-08, 2023-09-24
46, 13, 2020-11-25, 2021-10-05
129, 28, 2015-11-17, 2016-12-13
8, 14, 2016-09-02, 2017-06-04
171, 22, 2022-05-27, 2023-08-07
192, 9, 2020-11-24, 2021-09-09
182, 4, 2017-01-15, 2017-03-11
47, 7, 2022-11-19, NULL
186, 21, 2021-10-08, NULL
80, 7, 2018-09-28, 2019-01-28
32, 2, 2022-01-23, 2022-05-13
164, 8, 2020-07-17, 2021-09-25
29, 27, 2022-11-01, 2024-01-11
17, 8, 2018-07-27, 2018-12-25
156, 26, 2019-12-27, 2021-03-12
71, 20, 2015-11-01, NULL
10, 4, 2022-12-22, NULL
36, 21, 2023-01-12, 2024-01-10
102, 30, 2018-03-13, NULL
198, 2, 2023-01-11, 2023-03-18
29, 16, 2019-11-24, 2020-10-18
29, 25, 2020-06-25, 2020-12-11
184, 11, 2019-12-06, 2020-09-27
61, 11, 2021-05-15, 2021-07-30
114, 14, 2023-04-24, 2023-08-31
141, 21, 2017-07-24, 2017-11-02
10, 6, 2020-01-01, 2020-09-03
140, 10, 2016-04-04, 2017-05-25
72, 12, 2018-02-07, 2018-06-17
106, 11, 2017-04-25, 2018-02-25
5, 17, 2017-01-08, 2017-06-21
105, 25, 2021-09-01, 2022-05-29
151, 17, 2020-07-12, 2020-10-12
86, 9, 2017-08-29, 2018-09-26
6, 27, 2022-11-12, 2023-05-19
109, 17, 2022-12-22, 2023-02-16
46, 15, 2015-02-06, 2016-02-16
171, 26, 2021-01-09, 2021-07-31
