164, 4, 2015-04-13, 2016-04-27
58, 5, 2023-04-05, 2023-05-28
140, 3, 2021-08-15, NULL
24, 7, 2017-08-10, 2018-04-26
144, 7, 2023-01-11, 2023-12-10
108, 8, 2020-01-14, 2020-11-11
2, 25, 2016-10-15, 2017-10-08
72, 5, 2017-05-31, 2018-10-04
27, 3, 2019-04-06, 2019-05-26
89, 20, 2017-12-19, NULL
118, 18, 2016-05-26, 2017-10-07
21, 18, 2018-04-15, 2019-06-14
93, 19, 2017-02-26, NULL
170, 8, 2018-03-31, 2018-05-11
26, 13, 2018-02-12, 2018-10-03
94, 6, 2019-02-25, 2019-08-26
69, 23, 2022-08-31, NULL
163, 6, 2020-12-27, 2022-01-05
119, 13, 2018-01-10, 2019-04-29
143, 8, 2022-09-05, 2023-02-19
199, 2, 2017-07-27, NULL
81, 13, 2018-01-01, 2018-02-04
146, 29, 2023-01-19, 2023-06-30
128, 13, 2022-03-18, 2022-11-08
36, 8, 2023-05-10, 2024-02-22
192, 19, 2019-10-21, 2021-01-23
93, 8, 2016-07-20, 2017-04-07
194, 2, 2016-03-25, 2016-06-12
175, 14, 2021-09-08, 2021-10-11
153, 15, 2020-12-07, 2021-04-15
3, 22, 2023-01-31, 2023-03-31
138, 25, 2017-12-28, 2019-01-26
29, 10, 2019-11-16, 2020-02-05
185, 29, 2023-01-26, 2023-06-10
196, 6, 2020-09-10, 2021-12-22
161, 10, 2022-03-02, 2022-11-17
40, 12, 2016-10-23, 2017-07-27
136, 30, 2015-01-03, 2015-11-06
5, 4, 2019-01-26, 2020-04-20
79, 8, 2015-08-26, 2015-12-28
21, 3, 2023-03-17, 2023-11-21
195, 18, 2016-05-30, 2016-08-04
141, 6, 2017-12-21, 2018-09-18
109, 7, 2021-01-17, 2022-02-08
52, 23, 2018-06-30, 2019-01-21
167, 12, 2019-11-30, 2021-03-05
31, 8, 2017-07-09, 2017-08-11
151, 18, 2017-07-31, 2018-05-29
19, 23, 2022-01-28, 2022-02-28
9, 28, 2018-09-15, 2018-10-22
72, 22, 2020-06-11, 2020-09-29
186, 30, 2021-05-27, 2022-03-19
122, 26, 2019-07-26, 2019-11-01
169, 14, 2018-12-22, 2019-07-27
187, 2, 2022-07-21, 2023-06-21
26, 2, 2019-07-08, 2020-07-15
28, 8, 2017-02-23, 2017-06-01
36, 14, 2017-01-21, 2017-06-13
20, 15, 2021-03-04, NULL
139, 27, 2015-03-02, 2016-07-11
193, 28, 2017-08-26, 2017-11-20
124, 7, 2019-07-01, NULL
98, 1, 2019-05-19, 2019-10-02
117, 10, 2019-09-29, 2020-09-20
143, 22, 2023-01-21, 2023-09-28
76, 7, 2015-08-28, 2016-06-20
16, 24, 2018-07-08, NULL
123, 17, 2020-12-15, NULL
131, 3, 2017-01-31, 2017-03-08
173, 28, 2017-08-21, 2018-03-16
146, 8, 2021-06-29, NULL
21, 14, 2022-05-16, 2023-03-11
81, 30, 2017-12-04, 2018-03-19
81, 8, 2017-12-23, 2018-07-14
166, 10, 2020-02-16, 2020-07-27
19, 1, 2020-02-21, 2021-01-05
26, 3, 2021-01-11, 2021-05-01
34, 30, 2018-11-30, NULL
63, 12, 2018-03-13, 2018-06-02
140, 23, 2018-05-24, 2019-04-03
168, 17, 2015-02-02, 2016-01-10
77, 30, 2022-06-10, 2022-08-03
35, 9, 2016-04-17, 2017-07-17
142, 5, 2018-01-20, 2018-06-14
184, 11, 2017-04-13, 2018-03-31
68, 17, 2020-06-24, 2020-10-31
14, 3, 2022-02-11, 2022-09-16
12, 1, 2018-09-28, 2019-10-28
68, 6, 2023-04-25, 2023-12-08
110, 18, 2015-02-09, NULL
177, 29, 2016-09-02, NULL
95, 19, 2021-03-13, 2021-05-28
11, 10, 2019-02-02, 2020-05-08
11, 29, 2019-01-05, 2019-04-23
171, 4, 2018-12-19, 2020-01-23
105, 20, 2023-05-28, 2023-08-16
61, 28, 2016-10-27, 2018-03-11
46, 29, 2019-08-16, 2019-08-29
86, 26, 2019-08-14, 2020-09-28
189, 26, 2017-10-13, 2018-02-27
180, 4, 2019-04-16, NULL
121, 8, 2017-03-28, 2018-05-21
90, 10, 2017-07-21, NULL
50, 13, 2018-09-06, 2019-01-27
198, 9, 2018-12-09, 2019-11-03
174, 27, 2021-01-05, 2021-06-24
30, 29, 2017-12-05, 2018-03-07
68, 2, 2016-03-20, 2017-01-20
187, 26, 2018-07-08, 2019-02-17
131, 4, 2019-04-27, 2020-07-31
66, 2, 2022-12-13, NULL
138, 22, 2023-01-25, 2024-05-21
172, 7, 2019-01-31, NULL
171, 30, 2018-09-14, 2019-07-31
32, 24, 2018-05-15, 2019-01-30
105, 11, 2019-07-07, 2020-06-28
33, 7, 2019-09-19, 2020-08-25
174, 24, 2016-12-13, 2017-10-25
104, 18, 2015-01-02, 2015-06-07
111, 26, 2021-07-03, 2022-05-10
120, 15, 2019-12-17, 2020-11-27
122, 26, 2023-04-03, 2023-06-29
73, 17, 2022-06-12, 2023-05-03
24, 27, 2017-08-20, 2018-07-31
51, 5, 2015-04-11, 2015-05-05
122, 20, 2015-10-26, 2016-06-16
162, 19, 2017-03-07, 2018-03-10
127, 13, 2017-09-26, 2017-12-11
2, 29, 2016-03-12, 2017-04-15
46, 26, 2022-10-21, 2023-07-14
143, 8, 2016-05-12, 2017-01-01
119, 22, 2020-12-15, 2021-09-28
194, 29, 2019-12-18, 2020-10-27
130, 14, 2021-02-22, 2021-10-09
191, 28, 2020-04-28, 2020-12-15
64, 27, 2022-02-24, 2022-07-16
134, 16, 2022-01-11, 2022-05-14
20, 23, 2018-03-16, 2018-07-15
82, 29, 2021-01-21, 2021-03-04
60, 13, 2022-10-13, 2022-12-31
17, 14, 2019-07-28, 2020-01-14
107, 2, 2017-04-27, 2018-06-28
198, 19, 2022-10-19, 2022-10-30
196, 19, 2019-04-08, NULL
91, 10, 2019-05-17, 2020-07-27
108, 18, 2023-05-20, 2024-05-31
155, 29, 2017-06-22, 2018-02-27
112, 16, 2015-04-29, 2015-11-15
174, 26, 2019-07-15, 2020-07-20
120, 30, 2016-06-06, 2017-04-21
101, 19, 2021-04-30, NULL
165, 14, 2016-07-09, 2017-09-26
13, 9, 2019-04-02, 2019-09-17
84, 11, 2019-04-02, 2019-08-23
108, 9, 2015-12-02, NULL
139, 2, 2018-12-04, 2019-03-29
200, 21, 2015-06-14, NULL
64, 7, 2015-03-25, 2016-02-07
33, 16, 2022-07-05, 2022-09-02
56, 15, 2022-11-05, 2023-03-17
43, 20, 2021-10-23, 2023-03-01
30, 25, 2016-11-01, 2018-03-10
149, 1, 2018-07-01, 2019-04-22
97, 13, 2023-01-07, NULL
177, 27, 2022-01-13, 2022-05-18
198, 10, 2022-09-03, 2023-07-08
145, 26, 2015-06-18, 2015-12-13
170, 12, 2015-10-10, 2016-06-26
4, 28, 2019-09-17, 2020-11-12
111, 12, 2022-02-16, 2023-05-19
182, 5, 2019-11-19, 2020-02-18
167, 9, 2021-11-27, 2023-01-15
199, 16, 2020-03-19, 2020-10-29
152, 9, 2018-08-13, 2019-10-24
23, 9, 2020-01-21, 2020-05-25
146, 20, 2022-06-29, 2023-01-10
127, 28, 2018-08-24, 2018-11-26
91, 26, 2017-11-24, 2018-05-18
153, 23, 2018-02-05, NULL
49, 3, 2017-09-15, 2018-09-19
143, 25, 2017-09-11, 2018-08-31
183, 16, 2020-01-10, NULL
76, 8, 2019-07-15, 2020-07-04
170, 19, 2019-02-20, 2019-10-21
89, 14, 2023-05-14, 2024-02-20
180, 15, 2018-01-14, 2018-06-20
31, 24, 2017-02-27, 2017-08-08
138, 25, 2022-09-27, 2022-12-31
190, 16, 2018-02-06, 2019-02-12
195, 17, 2021-09-10, 2022-02-02
50, 10, 2017-07-20, 2018-01-21
4, 23, 2020-12-27, 2021-03-02
14, 18, 2018-04-11, 2019-04-04
164, 28, 2020-07-03, 2020-08-25
147, 10, 2020-04-06, 2020-12-08
48, 2, 2017-10-31, 2019-02-25
30, 27, 2015-09-25, 2016-04-18
148, 21, 2022-09-12, 2022-10-10
145, 10, 2015-12-15, 2016-04-21
196, 14, 2021-10-19, 2022-08-21
58, 25, 2020-11-10, 2021-05-24
114, 10, 2021-08-07, 2022-03-15
159, 2, 2021-11-02, 2023-03-09
196, 7, 2022-01-06, 2022-04-25
21, 6, 2017-09-09, 2017-12-07
41, 1, 2019-08-01, 2020-03-19
121, 10, 2015-05-14, 2015-09-10
73, 23, 2020-02-03, 2020-03-11
68, 26, 2022-01-04, 2022-11-02
51, 14, 2016-04-15, 2017-01-19
39, 30, 2017-12-24, 2019-02-21
16, 6, 2018-06-13, 2019-04-14
146, 30, 2018-03-28, 2018-11-08
177, 10, 2022-11-06, 2023-06-01
129, 18, 2020-07-15, 2021-02-25
11, 29, 2019-11-05, 2020-11-16
65, 1, 2016-01-10, 2016-05-07
148, 19, 2015-03-26, 2016-04-21
69, 19, 2015-06-14, 2016-07-09
121, 17, 2022-04-22, 2022-12-05
47, 19, 2019-11-21, 2020-10-12
24, 16, 2018-11-26, 2019-06-24
172, 4, 2016-10-20, 2017-04-07
127, 10, 2022-06-06, 2023-10-03
195, 18, 2015-05-31, 2016-01-19
65, 11, 2016-04-19, 2017-08-29
132, 27, 2015-01-05, 2015-12-08
119, 14, 2015-08-11, 2015-11-16
160, 25, 2020-08-03, 2021-06-20
14, 7, 2017-12-29, 2018-10-07
74, 15, 2022-10-31, 2023-07-07
162, 20, 2017-09-07, 2018-09-06
142, 1, 2021-03-12, 2021-10-07
30, 15, 2016-04-26, 2017-03-24
128, 30, 2023-01-14, 2023-06-13
70, 14, 2020-05-30, 2021-01-27
142, 5, 2019-04-21, 2019-07-28
131, 24, 2016-07-13, NULL
198, 26, 2019-08-27, 2020-02-18
130, 9, 2015-01-11, 2015-06-05
151, 19, 2022-05-27, 2023-02-02
115, 18, 2020-06-06, 2020-11-30
196, 18, 2019-03-26, 2019-11-15
49, 23, 2017-09-05, 2018-06-25
199, 14, 2015-06-28, 2015-12-08
181, 30, 2019-04-11, 2019-10-26
167, 5, 2020-07-21, NULL
129, 19, 2018-09-21, 2019-12-11
113, 4, 2020-11-24, 2022-03-06
185, 5, 2019-08-07, 2020-10-26
40, 3, 2020-04-07, 2021-05-13
87, 20, 2022-10-08, 2023-04-30
85, 28, 2022-07-25, 2023-10-08
82, 21, 2023-01-22, 2024-04-21
139, 2, 2021-12-04, 2022-01-09
176, 30, 2018-03-23, 2018-07-18
112, 4, 2022-02-08, 2023-02-04
114, 6, 2022-10-13, 2023-03-16
12, 11, 2015-08-18, 2016-01-16
111, 5, 2017-09-27, 2018-06-26
175, 26, 2017-01-07, 2017-04-05
157, 28, 2019-04-16, 2020-02-28
128, 30, 2021-07-16, 2021-09-28
164, 9, 2020-02-26, 2020-07-06
120, 29, 2018-03-24, 2019-03-06
19, 15, 2018-11-16, 2019-09-13
109, 23, 2017-10-21, 2018-06-12
51, 13, 2020-06-02, 2020-07-27
147, 12, 2021-06-12, 2021-11-11
76, 1, 2022-05-20, 2022-12-09
145, 28, 2022-09-10, 2023-10-14
13, 30, 2021-10-19, 2022-11-05
74, 25, 2017-07-31, 2018-06-07
57, 21, 2017-02-17, 2018-01-01
194, 24, 2022-05-24, 2023-05-08
161, 4, 2022-01-14, NULL
113, 2, 2021-07-01, 2022-01-04
24, 30, 2018-04-23, 2018-10-08
45, 7, 2016-06-25, 2017-08-02
94, 17, 2020-08-17, 2021-11-28
43, 9, 2020-05-27, 2021-10-05
192, 28, 2018-10-19, 2019-12-05
20, 5, 2017-07-13, 2018-09-27
173, 13, 2021-04-01, 2021-10-06
102, 1, 2017-12-19, 2018-09-20
95, 22, 2023-05-26, 2024-05-05
98, 27, 2022-02-28, 2023-06-25
173, 8, 2020-04-15, 2020-04-28
144, 11, 2021-11-03, 2022-02-25
163, 27, 2020-03-16, 2021-06-25
167, 14, 2016-04-22, NULL
10, 10, 2020-07-10, 2020-09-08
138, 5, 2019-05-11, 2019-12-30
191, 23, 2021-01-21, 2021-08-24
187, 5, 2019-08-27, 2020-07-28
126, 20, 2019-07-30, 2020-11-22
9, 23, 2019-02-26, 2019-06-18
61, 28, 2019-01-25, 2019-03-17
95, 18, 2022-03-26, NULL
71, 7, 2016-05-15, 2017-09-13
117, 3, 2022-06-07, 2022-09-24
153, 1, 2015-07-27, 2016-09-02
33, 26, 2021-05-01, NULL
196, 18, 2017-04-28, 2018-02-23
60, 11, 2016-08-27, 2017-10-05
1, 9, 2016-08-15, 2016-10-21
45, 4, 2022-05-31, NULL
4, 12, 2017-09-01, 2018-06-30
45, 9, 2015-08-03, 2015-10-07
135, 4, 2023-05-13, 2023-06-15
200, 12, 2020-10-03, 2021-08-03
129, 8, 2021-11-24, 2021-12-17
169, 17, 2018-05-20, 2019-01-10
8, 2, 2020-05-15, 2021-07-23
176, 4, 2020-07-01, 2021-07-01
19, 29, 2015-11-27, 2016-05-10
17, 5, 2018-01-31, 2018-12-17
141, 23, 2018-08-24, 2019-03-08
136, 10, 2020-02-02, 2020-10-18
26, 26, 2022-11-14, 2023-01-12
167, 29, 2021-03-08, 2022-03-13
111, 15, 2017-07-24, 2018-02-21
117, 13, 2019-08-31, 2020-09-08
110, 11, 2022-06-17, 2022-10-26
40, 22, 2020-04-26, 2020-05-31
22, 3, 2019-11-04, 2019-12-24
96, 26, 2016-06-16, NULL
144, 18, 2018-09-12, 2019-08-22
91, 28, 2022-06-18, 2023-10-13
185, 2, 2018-03-24, 2019-01-26
27, 19, 2020-09-09, 2020-12-27
124, 8, 2016-03-19, 2016-09-15
95, 4, 2018-02-15, 2018-12-06
110, 28, 2021-04-16, 2022-08-28
160, 20, 2022-07-27, 2023-06-22
156, 30, 2022-05-18, 2023-07-17
8, 6, 2018-01-24, 2019-01-19
87, 12, 2015-01-26, 2015-04-29
145, 22, 2019-06-30, 2019-08-05
163, 1, 2016-01-11, 2017-01-28
97, 14, 2020-02-02, 2020-07-26
80, 24, 2018-08-21, 2019-09-23
153, 3, 2015-08-04, 2015-10-23
159, 2, 2022-07-23, 2022-09-03
170, 14, 2020-06-12, 2021-04-19
70, 7, 2020-09-29, 2020-11-27
29, 10, 2022-08-09, 2023-07-23
135, 22, 2018-06-17, 2018-07-11
154, 2, 2015-02-01, 2015-05-17
55, 25, 2016-07-16, 2017-08-12
84, 4, 2015-02-01, 2015-10-14
45, 5, 2019-04-07, 2020-01-05
129, 18, 2022-06-29, 2023-08-16
102, 28, 2023-04-28, 2023-05-20
118, 30, 2015-11-15, 2017-01-30
110, 19, 2019-07-15, 2020-07-13
75, 4, 2019-07-18, 2019-07-29
44, 26, 2021-12-06, 2022-07-30
93, 3, 2019-11-24, 2021-01-30
112, 19, 2019-06-29, NULL
80, 24, 2018-10-22, 2019-02-13
44, 3, 2020-09-21, 2021-08-12
131, 7, 2018-12-02, 2019-05-31
166, 27, 2016-08-27, 2016-12-26
66, 7, 2016-12-11, 2017-10-16
195, 21, 2015-11-05, 2016-02-04
161, 16, 2020-03-15, 2021-04-06
149, 15, 2022-08-21, 2023-12-08
165, 21, 2022-01-02, 2022-06-17
161, 11, 2016-09-10, NULL
114, 21, 2018-05-25, 2019-07-07
15, 12, 2020-09-09, 2020-10-17
116, 2, 2015-08-22, 2016-02-27
20, 21, 2016-01-05, 2016-11-15
99, 15, 2021-07-05, 2022-04-15
190, 29, 2015-06-18, 2016-02-04
147, 21, 2017-02-10, 2017-07-25
129, 5, 2015-09-11, 2016-04-29
88, 23, 2015-12-12, 2016-08-27
11, 8, 2022-12-08, 2023-07-21
135, 17, 2021-11-02, 2022-01-23
73, 13, 2019-08-02, 2020-09-02
154, 2, 2022-01-28, 2022-12-26
85, 4, 2021-04-04, 2022-03-18
65, 24, 2022-05-13, 2023-09-19
39, 11, 2015-11-30, 2016-09-24
90, 10, 2022-05-11, 2023-05-04
34, 20, 2022-12-13, 2024-04-07
144, 13, 2022-03-20, 2023-04-30
33, 22, 2022-11-18, 2024-01-17
176, 30, 2020-11-26, 2021-01-13
109, 17, 2019-01-22, 2019-02-01
47, 7, 2018-10-31, 2020-02-29
50, 8, 2016-07-17, NULL
26, 17, 2021-01-19, 2022-03-23
135, 2, 2022-06-04, 2022-11-24
159, 5, 2021-09-12, 2022-03-24
47, 27, 2022-10-08, 2023-11-07
43, 24, 2019-11-28, 2019-12-21
174, 24, 2017-08-30, 2019-01-09
73, 25, 2023-05-25, 2024-06-30
137, 8, 2018-06-21, 2019-10-29
121, 29, 2017-03-05, 2017-09-10
147, 15, 2020-03-06, 2021-04-04
98, 17, 2020-11-30, 2021-07-03
52, 26, 2021-10-12, 2021-12-22
14, 21, 2020-05-22, 2021-08-13
27, 23, 2020-10-14, 2021-12-24
22, 25, 2016-10-18, 2017-03-07
132, 5, 2019-11-27, 2020-01-13
57, 27, 2020-01-22, 2021-04-19
7, 14, 2015-08-07, 2016-02-26
61, 13, 2015-12-01, 2016-06-10
82, 30, 2016-02-10, 2017-04-15
86, 26, 2016-08-21, NULL
121, 23, 2016-07-22, 2017-08-15
115, 20, 2015-01-22, NULL
66, 7, 2016-09-04, 2017-06-12
156, 17, 2019-09-30, 2019-11-26
61, 10, 2016-05-14, 2016-06-08
164, 26, 2021-12-26, NULL
128, 20, 2021-01-04, 2021-01-13
148, 8, 2023-01-22, 2023-04-06
1, 20, 2018-12-16, 2019-04-19
48, 22, 2022-06-30, 2022-08-13
93, 3, 2020-11-24, 2021-08-30
130, 18, 2015-03-25, 2015-10-11
12, 21, 2019-05-04, 2019-11-12
5, 12, 2015-10-04, 2016-03-29
169, 21, 2016-02-29, 2017-03-31
194, 11, 2016-06-30, 2016-07-23
87, 27, 2022-03-17, 2022-06-15
176, 15, 2022-10-19, 2023-06-22
35, 3, 2023-01-11, 2024-02-13
10, 10, 2017-04-05, 2017-04-28
11, 11, 2018-06-24, 2019-03-15
140, 16, 2017-11-03, 2017-11-22
